/run/media/levan/SDXC/NSU/MyLabs/OS/lab3/task3/build master* ⇡
❯ sudo ./prog
=== PID: 17952 ===
0x559f71d78000 | RAM  | PFN: 0x01ff022 | Физический: 0x0001ff022000 | [EXCL] | [DIRTY] // .bss и .data
0x559f71d79000 | RAM  | PFN: 0x01bc6b3 | Физический: 0x0001bc6b3000 | [EXCL] | [DIRTY]
0x559f71d7a000 | RAM  | PFN: 0x02bca6d | Физический: 0x0002bca6d000 | [EXCL] | [DIRTY]
0x559f71d7b000 | RAM  | PFN: 0x014d016 | Физический: 0x00014d016000 | [EXCL] | [DIRTY]
0x559f71d7c000 | RAM  | PFN: 0x03d860a | Физический: 0x0003d860a000 | [EXCL] | [DIRTY]
0x559fa4fd1000 | RAM  | PFN: 0x0186e1f | Физический: 0x000186e1f000 | [EXCL] | [DIRTY]
0x7f50e2a00000 | RAM  | PFN: 0x010fbc5 | Физический: 0x00010fbc5000 | [DIRTY]
0x7f50e2a01000 | RAM  | PFN: 0x010fbc6 | Физический: 0x00010fbc6000 | [DIRTY]
0x7f50e2a02000 | RAM  | PFN: 0x010fbc7 | Физический: 0x00010fbc7000 | [DIRTY]
0x7f50e2a03000 | RAM  | PFN: 0x010fbc8 | Физический: 0x00010fbc8000 | [DIRTY]
0x7f50e2a04000 | RAM  | PFN: 0x010fbb0 | Физический: 0x00010fbb0000 | [DIRTY]
0x7f50e2a05000 | RAM  | PFN: 0x010e943 | Физический: 0x00010e943000 | [DIRTY]
0x7f50e2a06000 | RAM  | PFN: 0x010fbb4 | Физический: 0x00010fbb4000 | [DIRTY]
0x7f50e2a07000 | RAM  | PFN: 0x010fbb2 | Физический: 0x00010fbb2000 | [DIRTY]
0x7f50e2a08000 | RAM  | PFN: 0x010fbc0 | Физический: 0x00010fbc0000 | [DIRTY]
0x7f50e2a09000 | RAM  | PFN: 0x010fbca | Физический: 0x00010fbca000 | [DIRTY]
0x7f50e2a0a000 | RAM  | PFN: 0x010fbb5 | Физический: 0x00010fbb5000 | [DIRTY]
0x7f50e2a0b000 | RAM  | PFN: 0x010fbaf | Физический: 0x00010fbaf000 | [DIRTY]
0x7f50e2a0c000 | RAM  | PFN: 0x010fbae | Физический: 0x00010fbae000 | [DIRTY]
0x7f50e2a0d000 | RAM  | PFN: 0x010e93f | Физический: 0x00010e93f000 | [DIRTY]
0x7f50e2a0e000 | RAM  | PFN: 0x010e940 | Физический: 0x00010e940000 | [DIRTY]
0x7f50e2a0f000 | RAM  | PFN: 0x010fbbf | Физический: 0x00010fbbf000 | [DIRTY]
0x7f50e2a10000 | RAM  | PFN: 0x010fbad | Физический: 0x00010fbad000 | [DIRTY]
0x7f50e2a11000 | RAM  | PFN: 0x010fbb3 | Физический: 0x00010fbb3000 | [DIRTY]
0x7f50e2a12000 | RAM  | PFN: 0x0268f18 | Физический: 0x000268f18000 | [DIRTY]
0x7f50e2a13000 | RAM  | PFN: 0x0268f26 | Физический: 0x000268f26000 | [DIRTY]
0x7f50e2a14000 | RAM  | PFN: 0x0110560 | Физический: 0x000110560000 | [DIRTY]
0x7f50e2a15000 | RAM  | PFN: 0x010e9cc | Физический: 0x00010e9cc000 | [DIRTY]
0x7f50e2a16000 | RAM  | PFN: 0x010fc76 | Физический: 0x00010fc76000 | [DIRTY]
